"Nama Provinsi","Luas km","Populasi 2010","Populasi 2020"
"Aceh
","56.500,51
","4.494.410
","5.274.871
"
"Riau
","87.844,23
","5.538.367
","6.394.087
"
"Bengkulu
","19.795,15
","1.715.518
","2.010.670
"
"Kepulauan Riau
","8.084,01
","1.679.163
","2.064.564
"
"Jawa Tengah
","32.799,71
","32.382.657
","36.516.035
"
"Banten
","9.018,64
","10.632.166
","11.904.562
"
"Nusa Tenggara Timur
","46.137,87
","4.683.827
","5.325.566
"
"Kalimantan Selatan
","37.530,52
","3.626.616
","4.073.584
"
"Sulawesi Utara
","13.930,73
","2.270.596
","2.621.923
"
"Sulawesi Tenggara
","36.757,45
","2.232.586
","2.624.875
"
"Maluku
","47.350,42
","1.533.506
","1.848.923
"
"Papua
","309.934,40
","2.833.381
","4.303.707
"
